"Interval start","Graph 1"
"129.100","53"
"129.200","62"
"129.300","36"
"129.400","31"
"129.500","42"
"129.600","41"
"129.700","50"
"129.800","64"
"129.900","64"
"130.000","26"
"130.100","43"
"130.200","29"
"130.300","87"
"130.400","23"
"130.500","74"
"130.600","27"
"130.700","72"
"130.800","74"
"130.900","47"
"131.000","72"
"131.100","67"
"131.200","40"
"131.300","71"
"131.400","24"
"131.500","67"
"131.600","55"
"131.700","46"
"131.800","90"
"131.900","68"
"132.000","37"
"132.100","84"
"132.200","40"
"132.300","95"
"132.400","60"
"132.500","58"
"132.600","68"
"132.700","74"
"132.800","50"
"132.900","74"
"133.000","23"
"133.100","72"
"133.200","55"
"133.300","48"
"133.400","74"
"133.500","57"
"133.600","34"
"133.700","86"
"133.800","43"
"133.900","96"
"134.000","69"
"134.100","70"
"134.200","25"
"134.300","55"
"134.400","17"
"134.500","56"
"134.600","43"
"134.700","41"
"134.800","39"
"134.900","65"
"135.000","83"
"135.100","24"
"135.200","54"
"135.300","72"
"135.400","31"
"135.500","55"
"135.600","55"
"135.700","24"
"135.800","43"
"135.900","35"
"136.000","51"
"136.100","56"
"136.200","32"
"136.300","55"
"136.400","21"
"136.500","47"
"136.600","49"
"136.700","59"
"136.800","31"
"136.900","59"
"137.000","39"
"137.100","40"
"137.200","59"
"137.300","47"
"137.400","30"
"137.500","51"
"137.600","34"
"137.700","52"
"137.800","68"
"137.900","43"
"138.000","52"
"138.100","40"
"138.200","72"
"138.300","51"
"138.400","58"
"138.500","82"
"138.600","47"
"138.700","76"
"138.800","31"
"138.900","59"
"139.000","19"
"139.100","64"
"139.200","50"
"139.300","38"
"139.400","73"
"139.500","81"
"139.600","47"
"139.700","89"
"139.800","39"
"139.900","87"
"140.000","27"
"140.100","93"
"140.200","84"
"140.300","58"
"140.400","69"
"140.500","33"
"140.600","71"
"140.700","52"
"140.800","61"
"140.900","58"
"141.000","18"
"141.100","82"
"141.200","56"
"141.300","49"
"141.400","82"
"141.500","49"
"141.600","30"
"141.700","68"
"141.800","29"
"141.900","69"
"142.000","55"
"142.100","28"
"142.200","72"
"142.300","42"
"142.400","55"
"142.500","74"
"142.600","87"
"142.700","55"
"142.800","46"
"142.900","60"
"143.000","59"
"143.100","65"
"143.200","74"
"143.300","71"
"143.400","79"
"143.500","72"
"143.600","49"
"143.700","77"
"143.800","59"
"143.900","99"
"144.000","84"
"144.100","76"
"144.200","40"
"144.300","61"
"144.400","41"
"144.500","93"
"144.600","67"
"144.700","40"
"144.800","39"
"144.900","98"
"145.000","41"
"145.100","94"
"145.200","54"
"145.300","69"
"145.400","31"
"145.500","77"
"145.600","56"
"145.700","62"
"145.800","67"
"145.900","63"
"146.000","36"
"146.100","81"
"146.200","69"
"146.300","27"
"146.400","38"
"146.500","75"
"146.600","19"
"146.700","54"
"146.800","46"
"146.900","32"
"147.000","38"
"147.100","25"
"147.200","41"
"147.300","43"
"147.400","21"
"147.500","47"
"147.600","18"
"147.700","41"
"147.800","38"
"147.900","34"
"148.000","39"
"148.100","48"
"148.200","26"
"148.300","41"
"148.400","21"
"148.500","35"
"148.600","16"
"148.700","102"
"148.800","36"
"148.900","63"
"149.000","54"
"149.100","59"
"149.200","47"
"149.300","53"
"149.400","43"
"149.500","43"
"149.600","60"
"149.700","62"
"149.800","38"
"149.900","70"
"150.000","22"
"150.100","67"
"150.200","34"
"150.300","91"
"150.400","31"
"150.500","120"
"150.600","11"
"150.700","16"
"150.800","13"
"150.900","21"
"151.000","17"
"151.100","14"
"151.200","39"
"151.300","29"
"151.400","25"
"151.500","25"
"151.600","18"
"151.700","17"
"151.800","9"
"151.900","18"
"152.000","14"
"152.100","15"
"152.200","12"
"152.300","103"
"152.400","46"
"152.500","76"
"152.600","52"
"152.700","68"
"152.800","48"
"152.900","101"
"153.000","68"
"153.100","83"
"153.200","67"
"153.300","48"
"153.400","54"
"153.500","110"
"153.600","57"
"153.700","58"
"153.800","63"
"153.900","60"
"154.000","16"
"154.100","37"
"154.200","15"
"154.300","47"
"154.400","40"
"154.500","44"
"154.600","23"
"154.700","45"
"154.800","25"
"154.900","38"
"155.000","20"
"155.100","44"
"155.200","21"
"155.300","29"
"155.400","43"
"155.500","28"
"155.600","17"
"155.700","48"
"155.800","15"
"155.900","37"
"156.000","17"
"156.100","38"
"156.200","25"
"156.300","39"
"156.400","25"
"156.500","45"
"156.600","39"
"156.700","66"
"156.800","37"
"156.900","53"
"157.000","31"
"157.100","51"
"157.200","51"
